,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
0,1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.0816898345900015,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports
1,2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports
2,3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10,U,Pacific/Port_Moresby,airport,OurAirports
3,4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports
4,5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,146,10,U,Pacific/Port_Moresby,airport,OurAirports
5,6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301181800003,143.66900634799998,19,10,U,Pacific/Port_Moresby,airport,OurAirports
6,7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport,OurAirports
7,8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.678100585900005,283,-3,E,America/Godthab,airport,OurAirports
8,9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport,OurAirports
9,10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.70320129390001,251,-4,E,America/Thule,airport,OurAirports
10,11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210939,-18.07270050048828,6,0,N,Atlantic/Reykjavik,airport,OurAirports
11,12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330230712889,-14.401399612426758,76,0,N,Atlantic/Reykjavik,airport,OurAirports
14,15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.13529968261719,8,0,N,Atlantic/Reykjavik,airport,OurAirports
15,16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357055998,171,0,N,Atlantic/Reykjavik,airport,OurAirports
17,18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,0,N,Atlantic/Reykjavik,airport,OurAirports
20,21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625,630,-5,A,America/Toronto,airport,OurAirports
23,24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.391899108900006,-56.083099365200006,108,-3.5,A,America/St_Johns,airport,OurAirports
26,27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672,71,-5,A,America/Toronto,airport,OurAirports
27,28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125,522,-5,A,America/Toronto,airport,OurAirports
28,29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889678960001,-96.077796936,59,-6,A,America/Winnipeg,airport,OurAirports
29,30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.95080184936523,-125.27100372314452,346,-8,A,America/Vancouver,airport,OurAirports
30,31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports
31,32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.13800048799999,90,-7,A,America/Edmonton,airport,OurAirports
32,33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.054970224899996,-123.869862556,92,-8,A,America/Vancouver,airport,OurAirports
33,34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.296398162799996,-117.63200378399999,1624,-8,A,America/Vancouver,airport,OurAirports
35,36,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990798999999996,-66.330299,132,-4,A,America/Halifax,airport,OurAirports
36,37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.816704,-115.143997,74,-7,A,America/Edmonton,airport,OurAirports
39,40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446,87,-5,A,America/Toronto,airport,OurAirports
40,41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882,210,-5,A,America/Coral_Harbour,airport,OurAirports
44,45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017089844,-57.39139938354492,72,-3.5,A,America/St_Johns,airport,OurAirports
47,48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,-120.18299865722656,2148,-7,A,America/Dawson_Creek,airport,OurAirports
48,49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.309700012200004,-113.580001831,2373,-7,A,America/Edmonton,airport,OurAirports
49,50,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,-94.0708007812,32,-6,A,America/Winnipeg,airport,OurAirports
53,54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,-133.483001709,224,-7,A,America/Edmonton,airport,OurAirports
54,55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,110,-5,A,America/Toronto,airport,OurAirports
55,56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.86890029907226,-66.53720092773439,68,-4,A,America/Halifax,airport,OurAirports
57,58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.68199920654295,997,-6,A,America/Winnipeg,airport,OurAirports
59,60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,-121.23699951171876,555,-7,A,America/Edmonton,airport,OurAirports
60,61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,-76.5969009399414,305,-5,A,America/Toronto,airport,OurAirports
61,62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136108398,-77.7042007446289,639,-5,A,America/Toronto,airport,OurAirports
62,63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.775299072299994,-64.4785995483,112,-5,A,America/Toronto,airport,OurAirports
64,65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,-61.778099060058594,35,-5,A,America/Toronto,airport,OurAirports
66,67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,-92.744202,1354,-6,A,America/Winnipeg,airport,OurAirports
67,68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,-117.80599975585938,117,-7,A,America/Edmonton,airport,OurAirports
68,69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277,152,-7,A,America/Edmonton,airport,OurAirports
69,70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.173599243199995,-79.93499755859999,780,-5,A,America/Toronto,airport,OurAirports
70,71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,90,-5,A,America/Toronto,airport,OurAirports
71,72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,541,-7,A,America/Edmonton,airport,OurAirports
72,73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.880798339799995,-63.508598327600005,477,-4,A,America/Halifax,airport,OurAirports
74,75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,181,-5,A,America/Toronto,airport,OurAirports
76,77,Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442008972168,-58.54999923706055,84,-3.5,A,America/St_Johns,airport,OurAirports
77,78,Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.702201843299996,-120.444000244,1133,-8,A,America/Vancouver,airport,OurAirports
78,79,Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.4608001709,-80.3786010742,1055,-5,A,America/Toronto,airport,OurAirports
79,80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530166625977,-66.8052978515625,1709,-5,A,America/Toronto,airport,OurAirports
84,85,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.30920028686523,-110.072998046875,2193,-7,A,America/Edmonton,airport,OurAirports
86,87,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352,1421,-8,A,America/Vancouver,airport,OurAirports
89,90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.653301238999994,-111.22200012200001,1211,-7,A,America/Edmonton,airport,OurAirports
90,91,Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.291099548339844,-80.60780334472656,30,-5,A,America/Toronto,airport,OurAirports
93,94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999862670898,-61.78919982910156,39,-5,A,America/Toronto,airport,OurAirports
98,99,High Level Airport,High Level,Canada,YOJ,CYOJ,58.62139892578125,-117.16500091552734,1110,-7,A,America/Edmonton,airport,OurAirports
99,100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.3224983215332,-75.66919708251953,374,-5,A,America/Toronto,airport,OurAirports
104,105,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.4463996887207,-90.21420288085938,1267,-5,A,America/Coral_Harbour,airport,OurAirports
105,106,Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.83639907836914,-64.28859710693361,167,-5,A,America/Toronto,airport,OurAirports
107,108,Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.2860984802,-130.445007324,116,-8,A,America/Vancouver,airport,OurAirports
108,109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.7672004699707,-111.11699676513672,761,-7,A,America/Edmonton,airport,OurAirports
110,111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.7911,-71.393303,244,-5,A,America/Toronto,airport,OurAirports
111,112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,52.18220138549805,-113.8939971923828,2968,-7,A,America/Edmonton,airport,OurAirports
112,113,Windsor Airport,Windsor,Canada,YQG,CYQG,42.27560043334961,-82.95559692382812,622,-5,A,America/Toronto,airport,OurAirports
114,115,Kenora Airport,Kenora,Canada,YQK,CYQK,49.78829956054688,-94.36309814453124,1332,-6,A,America/Winnipeg,airport,OurAirports
115,116,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.6302986145,-112.80000305200001,3048,-7,A,America/Edmonton,airport,OurAirports
116,117,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.11220169067383,-64.67859649658203,232,-4,A,America/Halifax,airport,OurAirports
117,119,Comox Airport,Comox,Canada,YQQ,CYQQ,49.71080017089844,-124.88700103759766,84,-8,A,America/Vancouver,airport,OurAirports
118,120,Regina International Airport,Regina,Canada,YQR,CYQR,50.43190002441406,-104.66600036621094,1894,-6,N,America/Regina,airport,OurAirports
119,121,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.37189865112305,-89.32389831542969,653,-5,A,America/Toronto,airport,OurAirports
120,122,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136,2195,-7,A,America/Edmonton,airport,OurAirports
123,125,Gander International Airport,Gander,Canada,YQX,CYQX,48.9369010925293,-54.56809997558594,496,-3.5,A,America/St_Johns,airport,OurAirports
124,126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1614,-60.047798,203,-4,A,America/Halifax,airport,OurAirports
125,127,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.026100158691406,-122.51000213623048,1789,-8,A,America/Vancouver,airport,OurAirports
126,128,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.71690368649999,-94.9693984985,215,-6,A,America/Winnipeg,airport,OurAirports
130,132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.811401367200006,-92.1157989502,94,-6,A,America/Winnipeg,airport,OurAirports
131,133,Sudbury Airport,Sudbury,Canada,YSB,CYSB,46.625,-80.79889678955078,1141,-5,A,America/Toronto,airport,OurAirports
133,135,Saint John Airport,St. John,Canada,YSJ,CYSJ,45.31610107421875,-65.89029693603516,357,-4,A,America/Halifax,airport,OurAirports
134,136,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.020301818847656,-111.96199798583984,671,-7,A,America/Edmonton,airport,OurAirports
137,139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.24299621600001,282,-7,A,America/Edmonton,airport,OurAirports
138,140,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809,164,-5,A,America/Toronto,airport,OurAirports
139,141,Thompson Airport,Thompson,Canada,YTH,CYTH,55.80110168457031,-97.86419677734376,729,-6,A,America/Winnipeg,airport,OurAirports
141,143,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.569698333699996,-81.376701355,967,-5,A,America/Toronto,airport,OurAirports
142,144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,252,-5,A,America/Toronto,airport,OurAirports
143,145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.43329620361328,-133.0260009765625,15,-7,A,America/Edmonton,airport,OurAirports
144,146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,118,-5,A,America/Toronto,airport,OurAirports
145,147,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.22470092770003,80,-6,A,America/Winnipeg,airport,OurAirports
146,148,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.77610015869999,-81.2425,30,-5,A,America/Toronto,airport,OurAirports
147,149,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.20610046386719,-78.83560180664062,988,-5,A,America/Toronto,airport,OurAirports
150,152,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.03140258789999,21,-5,A,America/Toronto,airport,OurAirports
151,153,Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.0532989502,-77.7827987671,1107,-5,A,America/Toronto,airport,OurAirports
152,154,Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.09609985351562,-68.42690277099611,129,-5,A,America/Toronto,airport,OurAirports
153,155,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.28160095214844,-126.7979965209961,238,-7,A,America/Edmonton,airport,OurAirports
154,156,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901061999995,-123.183998108,14,-8,A,America/Vancouver,airport,OurAirports
158,160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.909999847399995,-97.2398986816,783,-6,A,America/Winnipeg,airport,OurAirports
159,161,Wabush Airport,Wabush,Canada,YWK,CYWK,52.92190170288086,-66.86440277099611,1808,-4,A,America/Halifax,airport,OurAirports
160,162,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854,3085,-8,A,America/Vancouver,airport,OurAirports
162,164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066001,3082,-7,A,America/Edmonton,airport,OurAirports
164,166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.170799255371094,-106.6999969482422,1653,-6,N,America/Regina,airport,OurAirports
165,167,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.01890182495117,-110.72100067138672,2352,-7,A,America/Edmonton,airport,OurAirports
166,168,Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.23809814453125,-120.73999786376952,2280,-7,A,America/Dawson_Creek,airport,OurAirports
167,169,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.11389923095703,-91.9052963256836,1258,-6,A,America/Winnipeg,airport,OurAirports
168,170,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.71360015869999,75,-5,A,America/Toronto,airport,OurAirports
170,172,Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,2267,-8,A,America/Vancouver,airport,OurAirports
171,173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,713,-8,A,America/Vancouver,airport,OurAirports
172,174,London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539,912,-5,A,America/Toronto,airport,OurAirports
173,175,Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.02529907226562,-122.36100006103516,195,-8,A,America/Vancouver,airport,OurAirports
174,176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.709598541300004,-135.067001343,2317,-8,A,America/Vancouver,airport,OurAirports
175,177,North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,46.363602,-79.422798,1215,-5,A,America/Toronto,airport,OurAirports
176,178,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899231000005,-114.019996643,3557,-7,A,America/Edmonton,airport,OurAirports
177,179,Smithers Airport,Smithers,Canada,YYD,CYYD,54.82469940185547,-127.18299865722656,1712,-8,A,America/Vancouver,airport,OurAirports
178,180,Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.59700012200001,1253,-8,A,America/Vancouver,airport,OurAirports
179,181,Penticton Airport,Penticton,Canada,YYF,CYYF,49.46310043334961,-119.60199737548828,1129,-8,A,America/Vancouver,airport,OurAirports
180,182,Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.290000915527344,-63.12110137939453,160,-4,A,America/Halifax,airport,OurAirports
181,183,Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.57669830319999,92,-7,A,America/Edmonton,airport,OurAirports
182,184,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,63,-8,A,America/Vancouver,airport,OurAirports
185,187,Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.73920059204102,-94.06500244140624,94,-6,A,America/Winnipeg,airport,OurAirports
186,188,Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.425800323500006,160,-4,A,America/Halifax,airport,OurAirports
187,189,St. John's International Airport,St. John's,Canada,YYT,CYYT,47.618598938000005,-52.751899719200004,461,-3.5,A,America/St_Johns,airport,OurAirports
188,190,Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.41389846801758,-82.46749877929688,743,-5,A,America/Toronto,airport,OurAirports
190,192,Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.60860061645508,-68.20809936523439,172,-5,A,America/Toronto,airport,OurAirports
191,193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999,569,-5,A,America/Toronto,airport,OurAirports
194,196,Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.46279907226562,-114.44000244140624,675,-7,A,America/Edmonton,airport,OurAirports
196,198,Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.25429916379999,-131.813995361,21,-8,A,America/Vancouver,airport,OurAirports
197,199,Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.9994010925293,-82.30889892578125,594,-5,A,America/Toronto,airport,OurAirports
198,200,Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.68059921264648,-127.36699676513672,71,-8,A,America/Vancouver,airport,OurAirports
200,202,Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.22330093383789,-66.26560211181639,180,-5,A,America/Toronto,airport,OurAirports
204,206,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122070311,-134.86099243164062,116,-7,A,America/Edmonton,airport,OurAirports
207,209,Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.712001800500005,5.0699200630200005,20,1,N,Africa/Algiers,airport,OurAirports
208,210,Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.691001892089844,3.215409994125366,82,1,N,Africa/Algiers,airport,OurAirports
209,211,Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292801,9.45244,3176,1,N,Africa/Algiers,airport,OurAirports
214,216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543,4518,1,N,Africa/Algiers,airport,OurAirports
216,218,Mecheria Airport,Mecheria,Algeria,MZW,DAAY,33.535900116,-0.242353007197,3855,1,N,Africa/Algiers,airport,OurAirports
218,220,Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,36.822201,7.8091740000000005,16,1,N,Africa/Algiers,airport,OurAirports
219,221,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.2760009765625,6.620389938354492,2265,1,N,Africa/Algiers,airport,OurAirports
220,222,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,35.4315986633,8.120719909670001,2661,1,N,Africa/Algiers,airport,OurAirports
221,224,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,32.93040084838867,3.311539888381958,2540,1,N,Africa/Algiers,airport,OurAirports
222,225,Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.3410987854,1.4631500244100002,3245,1,N,Africa/Algiers,airport,OurAirports
225,228,Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI,36.212699890100005,1.33176994324,463,1,N,Africa/Algiers,airport,OurAirports
227,230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.0167007446,-1.4500000476800001,814,1,N,Africa/Algiers,airport,OurAirports
228,231,Es Senia Airport,Oran,Algeria,ORN,DAOO,35.6239013672,-0.6211829781529999,295,1,N,Africa/Algiers,airport,OurAirports
230,233,Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.207698822021484,0.14714199304580688,1686,1,N,Africa/Algiers,airport,OurAirports
231,234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.83760070800781,-0.1864140033721924,919,1,N,Africa/Algiers,airport,OurAirports
232,235,Biskra Airport,Biskra,Algeria,BSK,DAUB,34.793300628699996,5.73823022842,289,1,N,Africa/Algiers,airport,OurAirports
233,236,El Golea Airport,El Golea,Algeria,ELG,DAUE,30.5713005065918,2.8595900535583496,1306,1,N,Africa/Algiers,airport,OurAirports
234,237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.38410186767578,3.7941100597381587,1512,1,N,Africa/Algiers,airport,OurAirports
235,238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.673000335700003,6.140439987180001,463,1,N,Africa/Algiers,airport,OurAirports
236,239,In Salah Airport,In Salah,Algeria,INZ,DAUI,27.2509994507,2.51202011108,896,1,N,Africa/Algiers,airport,OurAirports
237,240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.067798614501946,6.088669776916504,279,1,N,Africa/Algiers,airport,OurAirports
240,243,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.917200088500977,5.412779808044434,492,1,N,Africa/Algiers,airport,OurAirports
241,244,In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.0515,9.64291,1847,1,N,Africa/Algiers,airport,OurAirports
242,245,Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357230186462402,2.384350061416626,19,1,N,Africa/Porto-Novo,airport,OurAirports
243,246,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.3532,-1.51242,1037,0,N,Africa/Ouagadougou,airport,OurAirports
244,247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160099983215332,-4.33096981048584,1511,0,N,Africa/Ouagadougou,airport,OurAirports
245,248,Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.605189800262451,-0.16678600013256073,205,0,N,Africa/Accra,airport,OurAirports
246,249,Tamale Airport,Tamale,Ghana,TML,DGLE,9.55718994140625,-0.8632140159606934,553,0,N,Africa/Accra,airport,OurAirports
248,251,Sunyani Airport,Sunyani,Ghana,NYI,DGSN,7.361830234527588,-2.3287599086761475,1014,0,N,Africa/Accra,airport,OurAirports
249,252,Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.896059989929199,-1.7747600078582764,21,0,N,Africa/Accra,airport,OurAirports
250,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209197998,-3.9262900352478023,21,0,N,Africa/Abidjan,airport,OurAirports
257,260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.006790161132812,7.263169765472412,1123,1,N,Africa/Lagos,airport,OurAirports
259,262,Benin Airport,Benin,Nigeria,BNI,DNBE,6.3169798851013175,5.599500179290772,258,1,N,Africa/Lagos,airport,OurAirports
260,263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976019859313965,8.347200393676758,210,1,N,Africa/Lagos,airport,OurAirports
261,264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.4742698669433585,7.561960220336914,466,1,N,Africa/Lagos,airport,OurAirports
263,266,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362460136413574,3.97832989692688,725,1,N,Africa/Lagos,airport,OurAirports
264,267,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,8.440210342407228,4.493919849395752,1126,1,N,Africa/Lagos,airport,OurAirports
265,268,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,9.639829635620117,8.869050025939941,4232,1,N,Africa/Lagos,airport,OurAirports
266,269,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.696000099182127,7.320109844207764,2073,1,N,Africa/Lagos,airport,OurAirports
267,270,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,12.0476,8.52462,1562,1,N,Africa/Lagos,airport,OurAirports
270,273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.5773701667785645,3.321160078048706,135,1,N,Africa/Lagos,airport,OurAirports
272,275,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,5.0154900550842285,6.94959020614624,87,1,N,Africa/Lagos,airport,OurAirports
273,276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,12.916299819946287,5.207190036773682,1010,1,N,Africa/Lagos,airport,OurAirports
274,277,Yola Airport,Yola,Nigeria,YOL,DNYO,9.257550239562988,12.430399894714355,599,1,N,Africa/Lagos,airport,OurAirports
277,280,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,13.4815,2.18361,732,1,N,Africa/Niamey,airport,OurAirports
283,286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,35.75809860229492,10.75469970703125,9,1,E,Africa/Tunis,airport,OurAirports
284,287,Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,36.85100173950195,10.22719955444336,22,1,E,Africa/Tunis,airport,OurAirports
287,290,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,34.42200088500977,8.822500228881836,1060,1,E,Africa/Tunis,airport,OurAirports
288,291,Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,33.87689971923828,10.103300094604492,26,1,E,Africa/Tunis,airport,OurAirports
290,293,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DTTJ,33.875,10.775500297546387,19,1,E,Africa/Tunis,airport,OurAirports
